Source,Target,Date,Location,Weight,Latitude,Longitude,Coordinates
WordPress,Scalar,1/1/2014 0:00:00,"Lausanne, Switzerland",6,46.5196535,6.6322734,"46.5196535, 6.6322734"
WordPress,Scalar,1/1/2015 0:00:00,"Sydney, Australia",5,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
WordPress,Scalar,1/1/2016 0:00:00,"Kraków, Poland",4,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
WordPress,Scalar,1/1/2017 0:00:00,"Montréal, Canada",12,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
WordPress,Scalar,1/1/2018 0:00:00,"Mexico City, Mexico",7,19.4326077,-99.133208,"19.4326077, -99.133208"
WordPress,Scalar,1/1/2019 0:00:00,"Utrecht, Netherlands",4,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
WordPress,Scalar,1/1/2022 0:00:00,"Tokyo, Japan",4,35.6764225,139.650027,"35.6764225, 139.650027"
WordPress,StoryMapJS,1/1/2018 0:00:00,"Mexico City, Mexico",5,19.4326077,-99.133208,"19.4326077, -99.133208"
WordPress,TEI,1/1/2009 0:00:00,"College Park, Maryland, United States",155,38.9896967,-76.93776,"38.9896967, -76.93776"
WordPress,TEI,1/1/2010 0:00:00,"London, England, United Kingdom",141,51.5072178,-0.1275862,"51.5072178, -0.1275862"
WordPress,TEI,1/1/2011 0:00:00,"Stanford, California, United States",92,37.424106,-122.1660756,"37.4241059999999, -122.1660756"
WordPress,TEI,1/1/2012 0:00:00,"Hamburg, Germany",154,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
WordPress,TEI,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",168,40.813616,-96.7025955,"40.813616, -96.7025955"
WordPress,TEI,1/1/2014 0:00:00,"Lausanne, Switzerland",118,46.5196535,6.6322734,"46.5196535, 6.6322734"
WordPress,TEI,1/1/2015 0:00:00,"Sydney, Australia",273,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
